No,VF,LCD,PLD,ASA,Density,Henry_0.1,Henry_30,Henry_100,Min(Ef)_0.1,Min(Ef)_30,Min(Ef)_100,Henry_ave,Min(Ef)_ave,Fe,Voro_H,V<12,"V=[12,16]",V>16,Adsorption_0.1bar,Adsorption_30bar,Adsorption_100bar,Work_12,Work_23,Enthalpy_0.1bar,Enthalpy_30bar,Enthalpy_100bar,Adsorption_0.1bar(g/L),Adsorption_30bar(g/L),Adsorption_100bar(g/L)
1,0.47725,6.0027,5.74816,837.66699,0.97003,4.10E-06,4.10E-06,4.09E-06,-4.141883333,-4.13526,-4.264846667,-12.40452358,-4.180663333,20.9539,443.7006936,0.06351706,0.865354331,0.071128609,0.040747091,6.221971354,8.980788348,6.181224264,2.758816994,-15.97616,-17.98034,-19.40224,0.079679473,12.16684147,17.56160899
2,0.76503,19.719,19.51272,2413.69995,0.4577,2.88E-06,2.89E-06,2.88E-06,-2.084456667,-2.11634,-2.090793333,-12.75772026,-2.097196667,-3.09876,205.5833431,0.191454396,0.759244043,0.049301561,0.028855155,9.134331266,29.71788425,9.105476111,20.58355299,-9.57784,-10.4463,-10.63393,0.026623736,8.427957682,27.41974903
3,0.74762,16.86472,16.31454,2502.93994,0.48611,3.28E-06,3.25E-06,3.26E-06,-2.70347,-2.70267,-2.75961,-12.63378336,-2.721916667,-3.14845,113.2053656,0.174615002,0.769249876,0.056135122,0.032748076,9.676272286,29.40823422,9.64352421,19.73196193,-10.75035,-10.97955,-11.20269,0.032091131,9.482160718,28.81828818
4,0.70369,13.63704,13.20257,2262.16992,0.56827,2.95E-06,2.95E-06,2.95E-06,-2.7749,-2.701653333,-2.593043333,-12.73370539,-2.689865556,-3.27493,311.8469121,0.146931326,0.788044718,0.065023956,0.029400292,8.919011573,26.08968549,8.889611281,17.17067392,-10.95781,-11.42393,-12.35217,0.03367992,10.21729971,29.8874078
5,0.55906,8.24978,7.29541,1463.32996,0.82722,5.38E-06,5.39E-06,5.37E-06,-3.27767,-3.32798,-3.305146667,-12.13282218,-3.303598889,-8.42476,119.7607986,0.084057971,0.867494824,0.048447205,0.05434969,10.64231884,16.89163004,10.58796915,6.249311204,-14.45897,-16.07238,-18.56752,0.090632252,17.74687818,28.16808114
6,0.61788,12.33636,11.95867,1192.13,0.97119,1.88E-06,1.87E-06,1.87E-06,-2.7367,-2.70993,-2.715316667,-13.18957213,-2.720648889,13.9018,646.063029,0.151563328,0.848436672,0,0.018726877,6.139241354,16.89297849,6.120514478,10.75373714,-11.1788,-12.81338,-14.60005,0.036663527,12.01942205,33.07311547
7,0.54992,9.9715,9.76591,1374.06995,0.83347,4.75E-06,4.77E-06,4.76E-06,-3.375106667,-3.33391,-3.389853333,-12.25526289,-3.36629,-4.70579,133.1854619,0.102052135,0.811517841,0.086430024,0.047726454,11.00431465,17.9001066,10.9565882,6.895791946,-13.62497,-15.92016,-18.45573,0.080188819,18.48917991,30.07532062
9,0.83921,16.46047,13.64478,5816.83984,0.33156,5.74E-06,5.74E-06,5.77E-06,-2.792736667,-2.778266667,-2.87181,-12.0663107,-2.814271111,-7.25891,-51.67598444,0.507979321,0.450775455,0.040008991,0.058255417,18.45601694,63.65763562,18.39776152,45.20161868,-9.84816,-10.47239,-12.69036,0.038937057,12.33572807,42.54781978
10,0.83789,11.50422,7.64416,7795.7002,0.30788,4.73E-06,4.73E-06,4.74E-06,-1.8648,-1.81835,-1.94396,-12.26158536,-1.875703333,-7.42736,116.3352909,0.697307335,0.254410399,0.048282266,0.046135488,17.33534168,72.52337561,17.2892062,55.18803393,-8.03273,-9.17745,-13.89151,0.028633951,10.75916481,45.0115703
11,0.75824,6.32614,5.7532,7445.02002,0.46182,7.82E-06,7.82E-06,7.83E-06,-2.75878,-2.760596667,-2.779253333,-11.75754805,-2.76621,-8.65729,-8.155906362,0.402266289,0.553352219,0.044381492,0.079586846,25.98832234,49.37718929,25.9087355,23.38886695,-10.96183,-14.13418,-17.31152,0.074093261,24.19444465,45.96886469
