No,VF,LCD,PLD,ASA,Density,Henry_0.1,Henry_30,Henry_100,Min(Ef)_0.1,Min(Ef)_30,Min(Ef)_100,Henry_ave,Min(Ef)_ave,Fe,Voro_H,V<12,"V=[12,16]",V>16,Adsorption_0.1bar,Adsorption_30bar,Adsorption_100bar,Work_12,Work_23,Enthalpy_0.1bar,Enthalpy_30bar,Enthalpy_100bar,Adsorption_0.1bar(g/L),Adsorption_30bar(g/L),Adsorption_100bar(g/L)
1,0.447884477,0.025344937,0.028897111,0.087183463,0.239241364,4.10E-06,4.10E-06,4.09E-06,-4.141883333,-4.13526,-4.264846667,-12.40452358,0.563098964,0.29072112,0.394490821,0.046298521,0.887107713,0.349522186,0.040747091,6.221971354,8.980788348,6.181224264,2.758816994,-15.97616,-17.98034,-19.40224,0.079679473,12.16684147,17.56160899
2,0.766328821,0.179034791,0.182231092,0.258446504,0.106805703,2.88E-06,2.89E-06,2.88E-06,-2.084456667,-2.11634,-2.090793333,-12.75772026,0.846870805,0.135080969,0.262405285,0.176588162,0.778330012,0.242265238,0.028855155,9.134331266,29.71788425,9.105476111,20.58355299,-9.57784,-10.4463,-10.63393,0.026623736,8.427957682,27.41974903
3,0.747063701,0.147052852,0.146604115,0.268143961,0.114149597,3.28E-06,3.25E-06,3.26E-06,-2.70347,-2.70267,-2.75961,-12.63378336,0.761782838,0.134759435,0.211162506,0.159439152,0.788587373,0.275844992,0.032748076,9.676272286,29.40823422,9.64352421,19.73196193,-10.75035,-10.97955,-11.20269,0.032091131,9.482160718,28.81828818
4,0.698452749,0.110887001,0.111937496,0.241980165,0.135387693,2.95E-06,2.95E-06,2.95E-06,-2.7749,-2.701653333,-2.593043333,-12.73370539,0.766148255,0.133941007,0.321350509,0.131246474,0.807854682,0.319524247,0.029400292,8.919011573,26.08968549,8.889611281,17.17067392,-10.95781,-11.42393,-12.35217,0.03367992,10.21729971,29.8874078
5,0.538411726,0.050523258,0.046133114,0.155172487,0.202325437,5.38E-06,5.39E-06,5.37E-06,-3.27767,-3.32798,-3.305146667,-12.13282218,0.682556691,0.100617445,0.214798855,0.067217105,0.889302014,0.238066978,0.05434969,10.64231884,16.89163004,10.58796915,6.249311204,-14.45897,-16.07238,-18.56752,0.090632252,17.74687818,28.16808114
6,0.60349928,0.096313003,0.098080741,0.125701955,0.23954122,1.88E-06,1.87E-06,1.87E-06,-2.7367,-2.70993,-2.715316667,-13.18957213,0.761955511,0.245088333,0.506742774,0.135963641,0.869764776,0,0.018726877,6.139241354,16.89297849,6.120514478,10.75373714,-11.1788,-12.81338,-14.60005,0.036663527,12.01942205,33.07311547
7,0.528297816,0.069814969,0.073653907,0.145472854,0.203941042,4.75E-06,4.77E-06,4.76E-06,-3.375106667,-3.33391,-3.389853333,-12.25526289,0.674018051,0.124682186,0.22224562,0.085542116,0.831917875,0.424712522,0.047726454,11.00431465,17.9001066,10.9565882,6.895791946,-13.62497,-15.92016,-18.45573,0.080188819,18.48917991,30.07532062
9,0.848413057,0.142523269,0.116863612,0.628256085,0.074198918,5.74E-06,5.74E-06,5.77E-06,-2.792736667,-2.778266667,-2.87181,-12.0663107,0.749203999,0.108161436,0.119701545,0.498932837,0.462107103,0.196602045,0.058255417,18.45601694,63.65763562,18.39776152,45.20161868,-9.84816,-10.47239,-12.69036,0.038937057,12.33572807,42.54781978
10,0.846952404,0.086988953,0.050018108,0.84329324,0.068077714,4.73E-06,4.73E-06,4.74E-06,-1.8648,-1.81835,-1.94396,-12.26158536,0.877038589,0.107071429,0.2128987,0.69174191,0.260805798,0.237256477,0.046135488,17.33534168,72.52337561,17.2892062,55.18803393,-8.03273,-9.17745,-13.89151,0.028633951,10.75916481,45.0115703
11,0.758815314,0.028969052,0.028953255,0.805185817,0.10787071,7.82E-06,7.82E-06,7.83E-06,-2.75878,-2.760596667,-2.779253333,-11.75754805,0.755750007,0.099112787,0.143842469,0.391276125,0.567262454,0.218088282,0.079586846,25.98832234,49.37718929,25.9087355,23.38886695,-10.96183,-14.13418,-17.31152,0.074093261,24.19444465,45.96886469
12,0.670733551,0.044109121,0.017443871,0.248990285,0.147663706,1.50E-05,1.50E-05,1.50E-05,-4.742073333,-4.73751,-4.774013333,-11.10746036,0.485391014,0.116934235,0.133233,0.203262414,0.750762918,0.24569733,0.148715235,17.74021795,31.05538959,17.59150272,13.31517164,-17.52381,-16.36384,-18.77326,0.184599964,22.02090183,38.54900133
13,0.577937864,0.023956762,0.027795276,0.14471111,0.187456702,6.39E-06,6.40E-06,6.40E-06,-3.4974,-3.465423333,-3.43092,-11.96077629,0.660630628,0.120340597,0.242501819,0.148980734,0.812876467,0.209880728,0.064239637,11.98221159,18.45703513,11.91797195,6.474823541,-14.54538,-17.71463,-18.82947,0.099675688,18.59187313,28.63835719
14,0.88451994,0.118556871,0.099667823,0.561827866,0.070435205,7.61E-06,7.60E-06,7.61E-06,-2.693273333,-2.746993333,-2.70437,-11.78736231,0.762741395,0.1057101,0.121139355,0.659995598,0.281121476,0.29305752,0.07720167,24.55096299,81.8381322,24.47376132,57.28716921,-10.50022,-10.90647,-14.06029,0.049334489,15.6888991,52.2973457
15,0.71371214,0.042535841,0.042633111,0.34130087,0.118647441,8.34E-06,8.36E-06,8.35E-06,-3.365423333,-3.336266667,-3.327016667,-11.69324902,0.677203508,0.106696704,0.097371576,0.330149414,0.658531249,0.075546347,0.084033006,19.91771358,38.77675217,19.83368057,18.85903859,-13.4139,-14.44024,-16.84682,0.085294824,20.21679276,39.35901375
16,0.555585457,0.046143036,0.051018459,0.155358317,0.175369392,4.38E-06,4.41E-06,4.44E-06,-4.73224,-4.9355,-4.82917,-12.33163587,0.474344445,0.163887519,0.42546965,0.086732767,0.917599122,0.008258732,0.04392431,8.994815492,17.07080473,8.950891182,8.07598924,-17.41164,-14.71071,-17.62153,0.064013545,13.10868689,24.87831288
17,0.59591938,0.070165795,0.07568023,0.188576777,0.160446372,3.47E-06,3.52E-06,3.43E-06,-4.546303333,-4.537113333,-4.412333333,-12.57135596,0.519797699,0.168088691,0.43974219,0.117992408,0.886475427,0.006613656,0.035163049,8.537708285,20.36414061,8.502545236,11.82643233,-15.40531,-13.20818,-16.3502,0.04715307,11.44892624,27.30797726
18,0.587996448,0.037207908,0.035630988,0.206704642,0.186528698,5.43E-06,5.42E-06,5.42E-06,-3.359936667,-3.350746667,-3.35671,-12.12357142,0.67544711,0.114489563,0.209343956,0.151012261,0.810982096,0.209158712,0.054733268,12.82099302,20.46834235,12.76625975,7.64734933,-14.21291,-16.46458,-18.76946,0.084529283,19.80055991,31.61101782
19,0.848534778,0.140821243,0.117037393,0.659560932,0.069078097,6.13E-06,6.13E-06,6.15E-06,-2.769173333,-2.812716667,-2.82737,-12.00068582,0.75072734,0.108935086,0.150567812,0.468466329,0.47721358,0.256531703,0.060290129,19.4380968,66.95412374,19.37780667,47.51602694,-9.8917,-10.35528,-12.57841,0.037889367,12.2158834,42.07735857
20,0.864115069,0.108994828,0.101790394,0.790492934,0.06082171,5.54E-06,5.54E-06,5.54E-06,-2.178953333,-2.220806667,-2.278773333,-12.10351606,0.82930335,0.128754589,0.119104585,0.813619566,0.178770681,0.040168501,0.055118045,19.71323567,81.29112066,19.65811762,61.57788499,-8.16676,-9.34339,-13.27263,0.031090071,11.1195144,45.85334451
21,0.443624241,0.024963298,0.01396392,0.043907416,0.235263098,7.12E-06,7.05E-06,7.14E-06,-4.289003333,-4.28347,-4.431943333,-11.85541577,0.542104521,0.143401587,0.371213939,0.040307828,0.906971422,0.283212983,0.069887936,7.271033021,10.36605892,7.201145085,3.095025898,-17.30257,-20.2023,-21.57581,0.134495117,13.99266448,19.94885514
22,0.705379782,0.107366643,0.108102075,0.270422709,0.13323183,3.98E-06,3.99E-06,4.00E-06,-2.857566667,-2.822266667,-2.82214,-12.43171933,0.7465181,0.140649035,0.332894253,0.068615347,0.894030958,0.204903952,0.039522107,10.44916656,26.96701018,10.40964446,16.51784362,-11.83161,-12.09877,-11.60584,0.044610645,11.7945144,30.43905827
23,0.678899925,0.150787895,0.155000714,0.195009881,0.160492902,5.05E-06,5.05E-06,5.06E-06,-2.611533333,-2.61439,-2.544466667,-12.19612231,0.779732414,0.122003272,0.185515536,0.249389616,0.729053236,0.1236213,0.05099371,15.83015519,44.19028471,15.77916148,28.36012952,-10.68735,-11.74968,-11.83151,0.068400229,21.23372157,59.27447901
24,0.649609419,0.141239635,0.145700568,0.210450396,0.147948052,5.23E-06,5.24E-06,5.23E-06,-1.493343333,-1.3997,-1.42167,-12.16109928,0.93662217,0.134456213,0.183331351,0.483677181,0.416259788,0.306289353,0.052436221,17.49886202,82.01792325,17.4464258,64.51906123,-6.38188,-6.9197,-9.16108,0.065205266,21.7601103,101.9905783
25,0.711167063,0.114095413,0.115976775,0.236045866,0.137897697,6.14E-06,6.14E-06,6.14E-06,-1.597776667,-1.579473333,-1.529943333,-12.00068582,0.918803347,0.138019687,0.163618456,0.63179391,0.296477036,0.267625001,0.060006463,20.63069431,96.55967797,20.57068785,75.92898366,-6.26349,-6.87955,-8.98767,0.06991583,24.03761256,112.5053812
26,0.631107823,0.047021164,0.035119784,0.262333531,0.175490885,6.55E-06,6.56E-06,6.56E-06,-1.39626,-1.400126667,-1.43605,-11.93451996,0.940357579,0.136325564,0.156818815,0.597736539,0.30041048,0.239192272,0.066109812,21.98198373,103.7468139,21.91587392,81.7648302,-5.7525,-6.40889,-8.2877,0.096408451,32.05649725,151.2947828
27,0.694767921,0.128482065,0.131965236,0.229392177,0.139430583,3.51E-06,3.51E-06,3.51E-06,-2.821663333,-2.75664,-2.861146667,-12.55989452,0.749356696,0.145427209,0.394714964,0.110944811,0.845836397,0.231684174,0.035343319,9.622016972,26.36048974,9.586673653,16.73847277,-11.4279,-11.68441,-11.29435,0.041602355,11.32600392,31.02873453
28,0.701628561,0.165752384,0.166179803,0.209458264,0.135798703,2.69E-06,2.67E-06,2.69E-06,-2.36446,-2.357896667,-2.372123333,-12.82969376,0.810419126,0.134356109,0.408097244,0.130270684,0.823894564,0.247346303,0.026200133,8.160936064,25.40863634,8.134735931,17.24770028,-10.39939,-11.07338,-12.37227,0.03009791,9.375033436,29.18866333
29,0.611599262,0.075169233,0.075948142,0.196839833,0.182253161,3.40E-06,3.40E-06,3.40E-06,-2.863616667,-2.900643333,-2.88735,-12.59173513,0.739724507,0.218390037,0.382290777,0.127097381,0.878689818,0,0.03392359,11.61038733,22.55579025,11.57646374,10.94540292,-11.77569,-14.51352,-17.51855,0.051260009,17.54379649,34.08277284
30,0.573389924,0.067513929,0.068446177,0.166133743,0.204225389,3.68E-06,3.71E-06,3.69E-06,-3.046116667,-3.087253333,-3.063373333,-12.5098841,0.714975133,0.273823898,0.098802291,0.118411783,0.887433001,0,0.036564481,12.43942107,20.35801368,12.40285659,7.918592609,-12.47823,-16.24232,-18.92183,0.061515826,20.92799458,34.25017913
31,0.763064484,0.286327482,0.289148787,0.202813264,0.112577937,2.73E-06,2.71E-06,2.70E-06,-2.487433333,-2.55399,-2.59214,-12.81856192,0.785944426,0.13797135,0.362337023,0.100321227,0.899354302,0,0.027077792,9.201227968,29.99807778,9.174150176,20.79684981,-9.78361,-11.03167,-10.70679,0.026202716,8.903870746,29.02862619
32,0.715781397,0.319533782,0.322491667,0.139108224,0.140562799,9.87E-06,9.78E-06,9.67E-06,-5.434353333,-5.466293333,-5.42485,-11.53619409,0.391325533,0.15503283,0.197363124,0.07454621,0.927691532,0,0.097710367,7.690740538,22.57868311,7.593030171,14.88794257,-20.48422,-10.76221,-10.94768,0.115876878,9.120618748,26.77655805
33,0.788448851,0.292697023,0.295525858,0.221459474,0.100131316,2.25E-06,2.24E-06,2.24E-06,-1.739373333,-1.756,-1.80844,-13.00903469,0.891716448,0.139672137,0.36426064,0.143618986,0.825766431,0.085852858,0.022535095,7.302320425,27.45310804,7.27978533,20.15078761,-8.13573,-8.95696,-9.9531,0.019619465,6.357533461,23.901177
34,0.750106727,0.09633418,0.099359252,0.35925812,0.11791848,8.56E-06,8.56E-06,8.54E-06,-3.683966667,-3.66322,-3.67019,-11.66957928,0.632317307,0.127992716,0.053326725,0.317218217,0.687308513,0,0.086573887,18.82334484,43.46588242,18.73677096,24.64253758,-14.5597,-13.43123,-14.54434,0.087381704,18.99898467,43.87146071
35,0.55836291,0.0764169,0.078040747,0.138916968,0.232000869,2.25E-06,2.24E-06,2.24E-06,-2.815693333,-2.856156667,-2.78294,-13.00903469,0.748660251,0.296214836,0.13012055,0.118280183,0.887565473,0,0.022343558,7.609135278,16.01855566,7.58679172,8.409420382,-11.14497,-13.62408,-16.97199,0.042430401,14.4497424,30.41922563
36,0.831449571,0.315922441,0.317777652,0.26280842,0.084285463,3.13E-06,3.13E-06,3.13E-06,-2.364063333,-2.313426667,-2.394103333,-12.67447755,0.811458195,0.139779229,0.505432348,0.132485669,0.843735079,0,0.032017413,9.863370488,34.18936371,9.831353075,24.32599322,-9.21986,-9.56755,-9.70801,0.023918442,7.368379736,25.54098673
37,0.537216647,0.08743883,0.091435647,0.119660064,0.232140457,2.22E-06,2.23E-06,2.22E-06,-2.824176667,-2.825803333,-2.82856,-13.01350897,0.747581987,0.290325753,0.168440448,0.162252842,0.809920607,0.160008543,0.02215704,6.888629853,15.42048588,6.866472813,8.531856031,-11.40761,-13.23586,-16.65091,0.042100323,13.08900191,29.3002779
38,0.603156248,0.10398052,0.105621137,0.154757384,0.220228925,4.14E-06,4.14E-06,4.12E-06,-3.485643333,-3.446116667,-3.49044,-12.39723315,0.659338679,0.162148942,0.259625015,0.032235156,0.974180964,0,0.041847244,9.420943948,19.50408062,9.379096704,10.08313668,-13.4886,-13.73931,-15.80764,0.075626176,17.02549318,35.24769848
39,0.772514462,0.281516432,0.284335071,0.209420234,0.111489665,2.94E-06,2.94E-06,2.92E-06,-2.4423,-2.42422,-2.4417,-12.74050813,0.800715205,0.13529127,0.413873746,0.118064075,0.882757827,0,0.02848962,9.340484948,29.76627063,9.311995328,20.42578569,-9.7304,-10.63375,-10.62428,0.02732713,8.959356002,28.55168837
40,0.651734005,0.147358746,0.149424926,0.183249911,0.153012005,3.03E-06,3.02E-06,3.03E-06,-2.809553333,-2.84275,-2.903953333,-12.70694794,0.744053605,0.138176216,0.447071195,0.098095715,0.907883761,0,0.030482414,9.60000313,25.97195628,9.569520717,16.37195315,-11.12033,-12.20904,-14.0832,0.039109145,12.31686955,33.32219719
41,0.685561385,0.196473771,0.199738349,0.218044058,0.142224934,3.49E-06,3.49E-06,3.48E-06,-3.11919,-3.155943333,-2.96374,-12.56560882,0.713062406,0.133125426,0.230214383,0.105130085,0.875097464,0.123216975,0.03479095,8.450783858,22.76484786,8.415992908,14.314064,-12.21602,-11.78653,-11.43914,0.041710319,10.13151085,27.29241536
42,0.714044106,0.202820454,0.20484259,0.219004673,0.136726707,2.81E-06,2.80E-06,2.81E-06,-2.596823333,-2.64527,-2.656163333,-12.78232607,0.773927192,0.13559954,0.505004723,0.291557295,0.70964378,0.016756853,0.027530214,8.436925016,22.92177952,8.409394802,14.48485451,-10.92514,-11.52129,-10.93693,0.031825103,9.753139197,26.4977235
43,0.676000752,0.135012172,0.138493808,0.206505773,0.148312533,2.80E-06,2.79E-06,2.79E-06,-2.638746667,-2.594653333,-2.617933333,-12.78946896,0.776057539,0.129223594,0.197415746,0.110526997,0.843640195,0.247964433,0.028220867,8.470945268,25.35377323,8.442724401,16.88282796,-10.95504,-11.70758,-13.59211,0.035173307,10.55783148,31.59988133
44,0.75318295,0.213803727,0.215478282,0.245160855,0.112071283,3.05E-06,3.05E-06,3.06E-06,-2.46027,-2.432413333,-2.447246667,-12.69709564,0.799275552,0.128395395,0.154602719,0.138359158,0.826172022,0.195182711,0.030457594,9.42153427,30.46173667,9.391076677,21.0402024,-10.09151,-10.60388,-11.27757,0.02935295,9.079831725,29.35694284
45,0.654433998,0.11625796,0.119057923,0.196293234,0.158670499,3.06E-06,3.08E-06,3.08E-06,-2.860923333,-2.78397,-2.80632,-12.693833,0.748822634,0.126264234,0.204869389,0.130521535,0.839352572,0.17203873,0.031210916,8.85814887,24.16469557,8.826937954,15.3065467,-11.68198,-11.9784,-14.26505,0.041421082,11.75595443,32.0697997
