No,VF,LCD,PLD,ASA,Density,Henry_0.1,Henry_30,Henry_100,Min(Ef)_0.1,Min(Ef)_30,Min(Ef)_100,Henry_ave,Min(Ef)_ave,Fe,Voro_H,V<12,"V=[12,16]",V>16,Adsorption_0.1bar,Adsorption_30bar,Adsorption_100bar,Work_12,Work_23,Enthalpy_0.1bar,Enthalpy_30bar,Enthalpy_100bar,Adsorption_0.1bar(g/L),Adsorption_30bar(g/L),Adsorption_100bar(g/L)
3,0.344239,4.71075,3.90547,353.311,1.7876,3.89E-06,3.89E-06,3.91E-06,-4.61194,-4.578333333,-4.59582,-12.454534,-4.595364444,-1.25739,-49.02925923,0.131426626,0.858018386,0.010554988,0.03865465,4.841594092,6.705869962,4.802939442,1.86427587,-17.45875,-19.59764,-20.18698,0.139295398,17.44710596,24.16518641
4,0.352292,4.69102,3.85229,334.94,1.81243,4.63E-06,4.61E-06,4.63E-06,-4.782686667,-4.77601,-4.882126667,-12.28511585,-4.813607778,-0.32187,-12.80974633,0.116869919,0.87195122,0.011178862,0.046179434,5.029746913,6.661952459,4.983567479,1.632205546,-17.92013,-20.28741,-20.77327,0.168723091,18.37689149,24.34038523
5,0.349377,4.67302,3.82009,315.161,1.84813,4.69E-06,4.66E-06,4.71E-06,-4.774853333,-4.83071,-4.822523333,-12.27007798,-4.809362222,-0.214389,-41.44846638,0.127471751,0.859110169,0.013418079,0.04643649,4.99026762,6.548943478,4.94383113,1.558675858,-18.08416,-20.52282,-20.77489,0.173004173,18.59178249,24.39879821
6,0.335638,4.69761,3.74654,298.954,1.90641,3.92E-06,3.93E-06,3.92E-06,-4.576736667,-4.694323333,-4.836913333,-12.4494189,-4.702657778,-1.24914,16.7894786,0.12329235,0.861338798,0.015368852,0.039632206,4.58638178,6.231731935,4.546749574,1.645350155,-17.95106,-20.07947,-20.38407,0.152310285,17.62589534,23.94913031
7,0.331323,4.67061,3.68144,259.015,1.96962,3.92E-06,3.95E-06,3.91E-06,-4.836263333,-4.708973333,-4.688683333,-12.44687113,-4.74464,-1.19903,6.440302612,0.111111111,0.868812738,0.020076151,0.038914849,4.457745982,5.984797694,4.418831133,1.527051712,-18.02501,-20.06436,-20.42802,0.154512092,17.69955872,23.76274437
8,0.199677,4.37853,3.59861,267.701,1.34661,5.77E-06,5.79E-06,5.76E-06,-4.198213333,-4.198316667,-4.20906,-12.06283848,-4.201863333,15.1472,427.8263074,0.042576125,0.918216114,0.039207761,0.056771387,3.406934331,4.382819478,3.350162944,0.975885147,-18.37052,-19.72877,-19.69882,0.154111844,9.248478131,11.89762002
9,0.54365,4.67382,3.90881,938.32,1.15833,8.60E-06,8.63E-06,8.61E-06,-3.915293333,-3.947306667,-3.91337,-11.66258624,-3.925323333,-11.1478,-145.45659,0.22580004,0.771814749,0.002385212,0.085347102,10.56161366,14.08074503,10.47626656,3.51913137,-15.823,-19.04856,-19.52702,0.199290116,24.66194118,32.87930395
12,0.50689,6.27961,3.51034,908.897,1.13147,1.23E-05,1.23E-05,1.23E-05,-4.620873333,-4.572183333,-4.58577,-11.3059113,-4.592942222,-10.4914,-132.0450765,0.145815481,0.827335047,0.026849472,0.123703407,11.39476405,14.27266805,11.27106064,2.877904,-17.30771,-21.7662,-21.85893,0.282156059,25.99040556,32.55463908
14,0.521129,7.70318,4.91038,1218.5,1.08434,7.63E-06,7.63E-06,7.66E-06,-4.16476,-4.29755,-4.386036667,-11.78211295,-4.282782222,-8.02796,70.27717415,0.14379085,0.827945593,0.028263558,0.076440515,10.66046667,14.86882916,10.58402616,4.20836249,-16.41509,-18.24006,-19.7715,0.16709127,23.30270684,32.50176354
15,0.368621,6.47621,4.29249,428.176,2.30944,1.41E-06,1.41E-06,1.41E-06,-2.97293,-3.047273333,-2.997636667,-13.47192085,-3.005946667,5.51079,97.83894215,0.146586345,0.834672021,0.018741633,0.014126936,2.735504299,4.462467741,2.721377363,1.726963442,-13.10567,-16.06988,-17.71073,0.065768712,12.73528773,20.77525913
16,0.300406,4.80977,4.22364,381.963,1.71994,4.58E-06,4.55E-06,4.57E-06,-4.14668,-4.21483,-4.14315,-12.29599735,-4.16822,28.8822,88.07096255,0.067338073,0.893957346,0.038704581,0.045489226,4.04511802,5.147523364,3.999628794,1.102405344,-16.94436,-20.56909,-20.45102,0.15771991,14.02520346,17.84745516
21,0.481654,5.75165,4.10445,783.511,1.26343,1.24E-05,1.25E-05,1.24E-05,-5.132593333,-5.172536667,-5.11921,-11.29781409,-5.141446667,29.8666,244.8844064,0.097512438,0.885572139,0.016915423,0.125314874,9.325551525,11.35519965,9.200236651,2.029648125,-17.91538,-21.80844,-21.94366,0.319167368,23.75146417,28.92082221
23,0.431364,4.2535,3.26413,375.121,1.23763,3.99E-05,3.98E-05,3.98E-05,-6.006556667,-6.076856667,-6.0477,-10.13164365,-6.043704445,-3.56671,170.0150155,0.120689655,0.808908046,0.070402299,0.38401245,7.47075709,8.347377372,7.08674464,0.876620282,-21.74325,-22.88769,-21.17226,0.95807787,18.6388932,20.82598503
24,0.30797,5.52187,3.72148,196.314,1.63796,3.99E-06,3.98E-06,3.99E-06,-4.062396667,-4.104656667,-4.066923333,-12.43171933,-4.077992222,-4.65857,-156.3576553,0.119060237,0.861508567,0.019431196,0.040004602,4.382120484,6.248485138,4.342115882,1.866364654,-16.76688,-18.35548,-18.74895,0.132092428,14.46945862,20.63206556
25,0.285146,5.64563,3.81414,189.253,1.71617,3.89E-06,3.89E-06,3.88E-06,-4.130236667,-4.109506667,-4.104843333,-12.4571014,-4.114862222,-4.43326,-161.7473011,0.121133125,0.845151199,0.033715676,0.039008951,4.087948147,5.771886607,4.048939196,1.68393846,-17.0903,-19.23965,-19.68907,0.134955085,14.14263589,19.96837723
26,0.466505,7.40266,5.04333,1129.06,1.01683,9.62E-06,9.60E-06,9.57E-06,-5.697013333,-5.616496667,-5.585573333,-11.55374746,-5.633027778,-6.27586,27.00263153,0.124130551,0.856964509,0.01890494,0.09413285,10.9314004,14.82660392,10.83726755,3.89520352,-18.44855,-18.82648,-20.35104,0.192954199,22.40726391,30.39168036
27,0.404918,6.45274,4.22462,946.794,1.12223,4.99E-06,4.96E-06,4.98E-06,-3.638666667,-3.56767,-3.635666667,-12.21008067,-3.614001111,-6.07732,74.32554555,0.105951878,0.871253694,0.022794428,0.049743947,7.054899107,10.9804281,7.00515516,3.925528993,-15.61935,-16.73494,-18.31612,0.112534787,15.96016429,24.840814
29,0.634801,8.76561,6.5175,1411.51,1.05969,1.07E-05,1.07E-05,1.07E-05,-5.16955,-5.150533333,-5.23576,-11.44526682,-5.185281111,-1.6688,102.2944718,0.213333333,0.773913043,0.012753623,0.10554074,12.14271281,18.46247608,12.03717207,6.31976327,-18.34119,-16.97709,-19.90828,0.22545696,25.93935876,39.43968683
30,0.621985,8.24108,6.31049,1401.53,1.04077,1.21E-05,1.21E-05,1.21E-05,-5.371943333,-5.276473333,-5.364573333,-11.32230511,-5.337663333,-1.74229,86.50203323,0.206834532,0.783573141,0.009592326,0.120618782,12.24758148,18.45971269,12.1269627,6.21213121,-19.12771,-17.19246,-19.70541,0.253066338,25.69625177,38.72972192
31,0.633915,8.71169,6.44453,1342.49,1.0948,1.14E-05,1.14E-05,1.13E-05,-5.340756667,-5.305616667,-5.254016667,-11.3818972,-5.30013,-1.71685,26.83886727,0.208849558,0.773451327,0.017699115,0.112808969,11.94598293,17.92120336,11.83317396,5.97522043,-18.90751,-17.20436,-20.00164,0.24896775,26.3646102,39.5518346
32,0.63717,8.74251,6.51591,1443.18,1.04816,1.16E-05,1.16E-05,1.16E-05,-5.236486667,-5.343866667,-5.303083333,-11.36450546,-5.294478889,-1.68984,33.04111184,0.233091787,0.754227053,0.012681159,0.114404001,12.50330398,18.84662122,12.38889998,6.34331724,-18.76727,-17.22138,-20.14287,0.241731625,26.41904095,39.82224687
33,0.563965,8.04098,5.29484,1393.54,0.979448,6.35E-06,6.34E-06,6.35E-06,-3.884323333,-3.892046667,-3.900136667,-11.96705575,-3.892168889,0.194652,133.577502,0.139667705,0.853063344,0.007268951,0.062104604,13.54202735,19.11332093,13.47992275,5.57129358,-14.8401,-18.59975,-20.53847,0.122622413,26.73805095,37.73828952
34,0.643957,5.3901,4.50129,1322.86,1.38641,4.49E-06,4.49E-06,4.50E-06,-3.302856667,-3.3256,-3.29694,-12.31365786,-3.308465556,-12.9088,-152.7613134,0.321882952,0.674300254,0.003816794,0.04439224,8.920088608,13.19347923,8.875696368,4.273390622,-13.54833,-17.05539,-18.50937,0.124069039,24.93018647,36.87361323
35,0.448926,6.49619,6.07699,635.609,1.77195,2.15E-06,2.15E-06,2.16E-06,-3.38439,-3.387533333,-3.357586667,-13.05004272,-3.376503333,1.40487,61.01911972,0.153311966,0.841346154,0.00534188,0.021806706,5.160879808,8.040439006,5.139073102,2.879559198,-13.36911,-17.39579,-19.63372,0.077894395,18.43486171,28.72075822
36,0.733694,6.88488,5.07148,2778.92,0.887006,4.02E-06,4.02E-06,4.02E-06,-2.917983333,-2.902306667,-2.943246667,-12.42422866,-2.921178889,-7.39118,-168.0943728,0.381381381,0.614328614,0.004290004,0.039818813,12.91204683,24.7700719,12.87222802,11.85802507,-11.40632,-14.45505,-17.4646,0.071199926,23.08800066,44.29130749
43,0.313672,7.12611,5.03994,351.459,1.98392,3.81E-06,3.82E-06,3.79E-06,-4.439283333,-4.43521,-4.492936667,-12.47788137,-4.45581,39.1613,-41.87695452,0.060427206,0.881112985,0.058459809,0.038076754,3.958237436,5.248544916,3.920160682,1.29030748,-17.00109,-21.16592,-22.36258,0.152282062,15.83035571,20.99074003
45,0.823926,11.50079,5.75746,3528.79,0.64997,5.47E-06,5.44E-06,5.44E-06,-3.484396667,-3.402736667,-3.447583333,-12.11989495,-3.444905556,-4.14222,-113.8650178,0.66083151,0.33916849,0,0.054770758,14.41781611,35.23382256,14.36304535,20.81600645,-12.32734,-12.34998,-15.48712,0.071764017,18.8911097,46.16552203
46,0.618085,7.79386,4.84092,1877.78,0.979833,4.23E-06,4.23E-06,4.22E-06,-3.26805,-3.307966667,-3.313096667,-12.37330856,-3.296371111,-5.87249,-29.52621635,0.244611059,0.730396751,0.02499219,0.042304552,10.11161782,18.04750229,10.06931327,7.93588447,-13.05467,-14.74503,-17.19656,0.08356104,19.97272787,35.64789121
47,0.372301,5.95317,5.66011,805.585,1.33865,1.63E-06,1.63E-06,1.63E-06,-3.34642,-3.193496667,-3.35149,-13.32693054,-3.297135556,-2.17275,132.6823231,0.162439614,0.797705314,0.039855072,0.016611244,4.375311337,9.259127843,4.358700093,4.883816506,-13.69814,-14.42379,-16.93358,0.044826401,11.80703037,24.98629131
48,0.484897,6.01448,4.33197,781.953,1.4324,6.82E-06,6.81E-06,6.83E-06,-4.22709,-4.205076667,-4.26098,-11.89565109,-4.231048889,-4.13964,-87.03146482,0.166512059,0.823593074,0.009894867,0.068468458,8.004401911,10.64923558,7.935933453,2.644833669,-16.79631,-19.97624,-21.00756,0.197705857,23.11308282,30.75016305
