No,VF,LCD,PLD,ASA,Density,Henry_0.1,Henry_30,Henry_100,Min(Ef)_0.1,Min(Ef)_30,Min(Ef)_100,Henry_ave,Min(Ef)_ave,Fe,Voro_H,V<12,"V=[12,16]",V>16,Adsorption_0.1bar,Adsorption_30bar,Adsorption_100bar,Work_12,Work_23,Enthalpy_0.1bar,Enthalpy_30bar,Enthalpy_100bar,Adsorption_0.1bar(g/L),Adsorption_30bar(g/L),Adsorption_100bar(g/L)
3,0.300700516,0.010868759,0.008369975,0.034549868,0.450580584,3.89E-06,3.89E-06,3.91E-06,-4.61194,-4.578333333,-4.59582,-12.454534,0.50661594,0.146996121,0.121169704,0.115456698,0.879587356,0.051866647,0.03865465,4.841594092,6.705869962,4.802939442,1.86427587,-17.45875,-19.59764,-20.18698,0.139295398,17.44710596,24.16518641
4,0.309611601,0.010647686,0.007777562,0.032553544,0.456999059,4.63E-06,4.61E-06,4.63E-06,-4.782686667,-4.77601,-4.882126667,-12.28511585,0.476890813,0.153049692,0.141260948,0.100632346,0.893870436,0.054932331,0.046179434,5.029746913,6.661952459,4.983567479,1.632205546,-17.92013,-20.28741,-20.77327,0.168723091,18.37689149,24.34038523
5,0.306385994,0.010445998,0.007418862,0.030404216,0.466227394,4.69E-06,4.66E-06,4.71E-06,-4.774853333,-4.83071,-4.822523333,-12.27007798,0.477469065,0.153745181,0.125374829,0.111429107,0.880706585,0.065935724,0.04643649,4.99026762,6.548943478,4.94383113,1.558675858,-18.08416,-20.52282,-20.77489,0.173004173,18.59178249,24.39879821
6,0.291183038,0.010721526,0.006599532,0.028643047,0.481292587,3.92E-06,3.93E-06,3.92E-06,-4.576736667,-4.694323333,-4.836913333,-12.4494189,0.492002399,0.147049506,0.157679867,0.107172862,0.882991237,0.075521718,0.039632206,4.58638178,6.231731935,4.546749574,1.645350155,-17.95106,-20.07947,-20.38407,0.152310285,17.62589534,23.94913031
7,0.286408254,0.010418994,0.005874333,0.024302989,0.497632169,3.92E-06,3.95E-06,3.91E-06,-4.836263333,-4.708973333,-4.688683333,-12.44687113,0.486284346,0.147373758,0.151939099,0.094767654,0.890653058,0.098653134,0.038914849,4.457745982,5.984797694,4.418831133,1.527051712,-18.02501,-20.06436,-20.42802,0.154512092,17.69955872,23.76274437
8,0.140734739,0.007146265,0.004951626,0.025246872,0.336586085,5.77E-06,5.79E-06,5.76E-06,-4.198213333,-4.198316667,-4.20906,-12.06283848,0.560211487,0.253147078,0.385685176,0.024972557,0.941298342,0.192664844,0.056771387,3.406934331,4.382819478,3.350162944,0.975885147,-18.37052,-19.72877,-19.69882,0.154111844,9.248478131,11.89762002
9,0.521359717,0.010454962,0.008407182,0.098121141,0.287916309,8.60E-06,8.63E-06,8.61E-06,-3.915293333,-3.947306667,-3.91337,-11.66258624,0.597876723,0.082997175,0.067680718,0.211565299,0.791216722,0.011720804,0.085347102,10.56161366,14.08074503,10.47626656,3.51913137,-15.823,-19.04856,-19.52702,0.199290116,24.66194118,32.87930395
12,0.480682762,0.028447688,0.003968319,0.094923826,0.280973085,1.23E-05,1.23E-05,1.23E-05,-4.620873333,-4.572183333,-4.58577,-11.3059113,0.506945851,0.087244613,0.075120188,0.130110112,0.848132696,0.131936872,0.123703407,11.39476405,14.27266805,11.27106064,2.877904,-17.30771,-21.7662,-21.85893,0.282156059,25.99040556,32.55463908
14,0.496438996,0.044398656,0.019564437,0.128567508,0.268790132,7.63E-06,7.63E-06,7.66E-06,-4.16476,-4.29755,-4.386036667,-11.78211295,0.549190191,0.103185061,0.187349906,0.128048256,0.84875859,0.138885615,0.076440515,10.66046667,14.86882916,10.58402616,4.20836249,-16.41509,-18.24006,-19.7715,0.16709127,23.30270684,32.50176354
15,0.327680535,0.030650573,0.012681287,0.042685236,0.585474548,1.41E-06,1.41E-06,1.41E-06,-2.97293,-3.047273333,-2.997636667,-13.47192085,0.72309745,0.190791716,0.202638632,0.13089515,0.855654107,0.092095384,0.014126936,2.735504299,4.462467741,2.721377363,1.726963442,-13.10567,-16.06988,-17.71073,0.065768712,12.73528773,20.77525913
16,0.252196899,0.011978269,0.011914314,0.0376634,0.433090691,4.58E-06,4.55E-06,4.57E-06,-4.14668,-4.21483,-4.14315,-12.29599735,0.564793768,0.342023629,0.197220258,0.050189788,0.916429754,0.190192244,0.045489226,4.04511802,5.147523364,3.999628794,1.102405344,-16.94436,-20.56909,-20.45102,0.15771991,14.02520346,17.84745516
21,0.452757745,0.022531946,0.010586566,0.081298485,0.315084322,1.24E-05,1.25E-05,1.24E-05,-5.132593333,-5.172536667,-5.11921,-11.29781409,0.432238577,0.348393492,0.284205889,0.080918951,0.907833759,0.083121485,0.125314874,9.325551525,11.35519965,9.200236651,2.029648125,-17.91538,-21.80844,-21.94366,0.319167368,23.75146417,28.92082221
23,0.397109103,0.005745316,0.001225597,0.036919899,0.308415104,3.99E-05,3.98E-05,3.98E-05,-6.006556667,-6.076856667,-6.0477,-10.13164365,0.309349473,0.132052955,0.242675258,0.104522313,0.829242475,0.345953138,0.38401245,7.47075709,8.347377372,7.08674464,0.876620282,-21.74325,-22.88769,-21.17226,0.95807787,18.6388932,20.82598503
24,0.260566879,0.019957282,0.006320369,0.017489449,0.411899124,3.99E-06,3.98E-06,3.99E-06,-4.062396667,-4.104656667,-4.066923333,-12.43171933,0.577082951,0.124987738,0.061633812,0.102862936,0.883165274,0.095483859,0.040004602,4.382120484,6.248485138,4.342115882,1.866364654,-16.76688,-18.35548,-18.74895,0.132092428,14.46945862,20.63206556
